epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2597.48,1.00873,0.81667,1.37624,0.8427,0.72207,0.77938,0.4745,1.51789,0.94781,2.08835,0.005842,0.005842,0.005842
44,2657.69,1.00797,0.79653,1.36755,0.82809,0.74233,0.78045,0.46684,1.52306,0.96904,2.10405,0.005743,0.005743,0.005743
45,2718.3,0.9881,0.79287,1.36146,0.85883,0.72691,0.78884,0.47192,1.51373,0.94179,2.09526,0.005644,0.005644,0.005644
46,2778.92,0.98213,0.77855,1.35064,0.84301,0.72346,0.78231,0.46745,1.52211,0.9612,2.11469,0.005545,0.005545,0.005545
47,2838.92,0.9701,0.77348,1.34791,0.82237,0.74308,0.77808,0.46766,1.50966,0.95297,2.12155,0.005446,0.005446,0.005446
48,2898.06,0.95922,0.76518,1.33572,0.83965,0.72526,0.77713,0.46607,1.52858,0.95887,2.1378,0.005347,0.005347,0.005347
49,2958.35,0.95019,0.75207,1.33181,0.85248,0.71039,0.77485,0.4681,1.53564,0.95652,2.15696,0.005248,0.005248,0.005248
50,3018.79,0.94317,0.73857,1.3241,0.83842,0.72679,0.7821,0.47077,1.54603,0.97437,2.17039,0.005149,0.005149,0.005149
51,3079.07,0.93978,0.73519,1.32246,0.84313,0.72365,0.77764,0.46817,1.5394,0.98433,2.16049,0.00505,0.00505,0.00505
52,3139.85,0.9232,0.72369,1.31037,0.86031,0.7048,0.77317,0.46906,1.5368,0.98958,2.18353,0.004951,0.004951,0.004951
53,3200.07,0.91966,0.718,1.3072,0.81814,0.72995,0.77325,0.46525,1.53742,0.9693,2.18331,0.004852,0.004852,0.004852
54,3260.88,0.90917,0.70554,1.29728,0.83326,0.7303,0.77692,0.46542,1.54726,0.96515,2.20631,0.004753,0.004753,0.004753
55,3320.86,0.89585,0.69573,1.28958,0.85341,0.72816,0.77634,0.46547,1.55779,0.97112,2.22546,0.004654,0.004654,0.004654
56,3381.19,0.88857,0.69221,1.28567,0.85544,0.72135,0.77427,0.46637,1.54394,0.96696,2.22147,0.004555,0.004555,0.004555
57,3440.98,0.88483,0.68592,1.27829,0.83241,0.72291,0.77414,0.46496,1.54837,0.97674,2.23031,0.004456,0.004456,0.004456
58,3500.74,0.87129,0.67803,1.27319,0.84388,0.71156,0.77149,0.46395,1.55314,0.98198,2.25803,0.004357,0.004357,0.004357
59,3561.26,0.85981,0.66403,1.26725,0.83851,0.72069,0.77373,0.46297,1.55337,0.98321,2.2649,0.004258,0.004258,0.004258
60,3621.9,0.85966,0.66521,1.26434,0.81487,0.7318,0.76935,0.46232,1.5561,0.9788,2.26591,0.004159,0.004159,0.004159
61,3681.86,0.84733,0.65551,1.2554,0.83729,0.72246,0.77111,0.46173,1.56597,0.98427,2.28316,0.00406,0.00406,0.00406
62,3742.57,0.83717,0.64642,1.24827,0.84456,0.72786,0.77937,0.46626,1.56048,0.98009,2.28206,0.003961,0.003961,0.003961
63,3803.69,0.83615,0.64869,1.24837,0.85347,0.71593,0.78004,0.46776,1.55334,0.97086,2.271,0.003862,0.003862,0.003862
64,3864.57,0.82305,0.63618,1.24048,0.81198,0.73829,0.77412,0.46439,1.56037,0.95966,2.28695,0.003763,0.003763,0.003763
65,3925.08,0.81882,0.62667,1.23378,0.82169,0.73365,0.77512,0.46675,1.55046,0.95697,2.28358,0.003664,0.003664,0.003664
66,3985.66,0.80944,0.61758,1.2291,0.8224,0.73421,0.77598,0.46612,1.55523,0.96244,2.29989,0.003565,0.003565,0.003565
67,4045.85,0.79619,0.61195,1.22444,0.81336,0.73876,0.77476,0.46296,1.563,0.95343,2.31085,0.003466,0.003466,0.003466
68,4105.7,0.7904,0.60269,1.21563,0.82731,0.72276,0.77061,0.46397,1.55318,0.96032,2.30582,0.003367,0.003367,0.003367
69,4164.87,0.78141,0.60579,1.21043,0.82266,0.72813,0.77059,0.46493,1.54948,0.97562,2.31573,0.003268,0.003268,0.003268
70,4224.97,0.77612,0.59393,1.2056,0.83145,0.72841,0.77511,0.46477,1.55722,0.98366,2.32816,0.003169,0.003169,0.003169
71,4284.76,0.77438,0.58647,1.2024,0.84044,0.72454,0.77593,0.4664,1.55519,0.98209,2.3298,0.00307,0.00307,0.00307
72,4345.08,0.76587,0.58479,1.20001,0.86064,0.71326,0.77466,0.46611,1.56034,0.98519,2.34351,0.002971,0.002971,0.002971
73,4405.87,0.75745,0.57155,1.19318,0.85536,0.71228,0.77532,0.46594,1.56141,0.9814,2.35342,0.002872,0.002872,0.002872
74,4466.54,0.74821,0.56641,1.18452,0.84909,0.71638,0.77585,0.46893,1.55938,0.97834,2.35819,0.002773,0.002773,0.002773
75,4526.75,0.73865,0.56453,1.18266,0.84691,0.72228,0.78001,0.46818,1.56223,0.977,2.36473,0.002674,0.002674,0.002674
76,4587.2,0.7316,0.55188,1.17706,0.84966,0.72277,0.77904,0.467,1.56076,0.97446,2.37134,0.002575,0.002575,0.002575
77,4647.86,0.72077,0.54504,1.17115,0.85375,0.72056,0.77877,0.46633,1.5656,0.97383,2.38527,0.002476,0.002476,0.002476
78,4708.96,0.71411,0.54023,1.16395,0.85669,0.71619,0.77674,0.46601,1.57128,0.9736,2.39959,0.002377,0.002377,0.002377
79,4769.59,0.71368,0.53703,1.16734,0.85572,0.71756,0.77812,0.46619,1.57438,0.97675,2.41126,0.002278,0.002278,0.002278
80,4830.06,0.70751,0.53299,1.16018,0.86554,0.71457,0.77904,0.46499,1.57356,0.97837,2.41802,0.002179,0.002179,0.002179
81,4892.65,0.69725,0.52398,1.15225,0.86862,0.71311,0.77871,0.46435,1.57534,0.9775,2.426,0.00208,0.00208,0.00208
82,4953.3,0.6902,0.51849,1.15144,0.86466,0.71008,0.77736,0.46333,1.57495,0.97397,2.42815,0.001981,0.001981,0.001981
83,5013.5,0.68263,0.51697,1.14546,0.8636,0.71219,0.77733,0.46518,1.57394,0.97805,2.43209,0.001882,0.001882,0.001882
84,5073.39,0.67822,0.50709,1.14284,0.86438,0.71082,0.77614,0.46469,1.57531,0.97871,2.44011,0.001783,0.001783,0.001783
85,5133.85,0.67127,0.5041,1.14146,0.8615,0.70903,0.77432,0.46381,1.57383,0.97707,2.44648,0.001684,0.001684,0.001684
86,5194.31,0.66818,0.50278,1.13403,0.86009,0.70794,0.77644,0.46372,1.57347,0.9824,2.4518,0.001585,0.001585,0.001585
87,5254.73,0.6573,0.49997,1.13013,0.86054,0.70989,0.77689,0.46407,1.57343,0.9826,2.45681,0.001486,0.001486,0.001486
88,5313.85,0.64946,0.49168,1.12916,0.86292,0.70567,0.77509,0.46347,1.57271,0.98522,2.45866,0.001387,0.001387,0.001387
89,5373.08,0.63816,0.48539,1.12095,0.86406,0.70447,0.77496,0.46278,1.57243,0.98771,2.46223,0.001288,0.001288,0.001288
90,5433.67,0.64092,0.47697,1.11581,0.86189,0.70681,0.77621,0.46494,1.57214,0.9872,2.46471,0.001189,0.001189,0.001189
91,5495.5,0.52918,0.26667,1.0708,0.85456,0.71017,0.77709,0.46458,1.57079,0.99,2.46545,0.00109,0.00109,0.00109
92,5555.97,0.50065,0.24965,1.04329,0.85301,0.71295,0.77664,0.46441,1.57132,0.99427,2.46985,0.000991,0.000991,0.000991
93,5616.51,0.49083,0.24699,1.03742,0.84695,0.71663,0.77549,0.46381,1.57087,0.99542,2.47519,0.000892,0.000892,0.000892
94,5676.55,0.47243,0.23943,1.02405,0.8467,0.71759,0.77586,0.46354,1.57014,0.99537,2.4794,0.000793,0.000793,0.000793
95,5736.95,0.46324,0.23502,1.01562,0.84417,0.71769,0.77459,0.4639,1.5708,0.99418,2.48533,0.000694,0.000694,0.000694
96,5797.57,0.4521,0.22946,1.00538,0.84916,0.71531,0.77447,0.46382,1.571,0.99313,2.49211,0.000595,0.000595,0.000595
97,5857.07,0.4402,0.22453,1.00234,0.82754,0.72812,0.77341,0.46282,1.5717,0.99567,2.49846,0.000496,0.000496,0.000496
98,5917.36,0.42786,0.21938,0.99135,0.82775,0.72744,0.77345,0.46243,1.57413,0.99991,2.50611,0.000397,0.000397,0.000397
99,5977.78,0.42227,0.21706,0.98689,0.82895,0.72725,0.77383,0.46208,1.57485,1.00112,2.51325,0.000298,0.000298,0.000298
100,6038.58,0.4161,0.21358,0.98243,0.82061,0.72988,0.77326,0.4624,1.57589,1.00425,2.52062,0.000199,0.000199,0.000199
